g,lambda,LB,E0,Delta0,eta0,delta0,A,delta_fraction,delta_star,x0,contraction_condition,infinite_self_energy_sum_bound,certified_Q_separation_floor,Q_separation_self_consistent,certified_gap_floor,positive_gap_floor,Acrit_delta_half
4.0,0.05,1.0,-0.20023516423412058,0.09931688918287147,0.28125,42.36690183090079,100,0.5,21.183450915450393,1.327687358979207,False,inf,-inf,False,-inf,False,72.4317551595809
4.0,0.05,1.0,-0.20023516423412058,0.09931688918287147,0.28125,42.36690183090079,200,0.5,21.183450915450393,2.655374717958414,False,inf,-inf,False,-inf,False,72.4317551595809
4.0,0.05,1.0,-0.20023516423412058,0.09931688918287147,0.28125,42.36690183090079,400,0.5,21.183450915450393,5.310749435916828,False,inf,-inf,False,-inf,False,72.4317551595809
5.0,0.05,1.0,-0.2000609800705922,0.09981921069929825,0.18,66.54672764673725,20,0.5,33.273363823368626,0.10819465140676998,True,0.0009852856984244199,66.5447570753404,True,0.09784863930244941,True,183.0398787361729
5.0,0.05,1.0,-0.2000609800705922,0.09981921069929825,0.18,66.54672764673725,100,0.5,33.273363823368626,0.5409732570338499,True,0.0013766236023876118,66.54397439953247,True,0.09706596349452302,True,183.0398787361729
5.0,0.05,1.0,-0.2000609800705922,0.09981921069929825,0.18,66.54672764673725,200,0.5,33.273363823368626,1.0819465140676998,False,inf,-inf,False,-inf,False,183.0398787361729
5.0,0.05,1.0,-0.2000609800705922,0.09981921069929825,0.18,66.54672764673725,400,0.5,33.273363823368626,2.1638930281353996,False,inf,-inf,False,-inf,False,183.0398787361729
6.0,0.05,1.0,-0.2000203632246015,0.09993922242954391,0.125,95.97779814100235,20,0.5,47.988899070501176,0.05209538139908595,True,0.0003264821831317334,95.97714517663609,True,0.09928625806328044,True,382.6583882655936
6.0,0.05,1.0,-0.2000203632246015,0.09993922242954391,0.125,95.97779814100235,100,0.5,47.988899070501176,0.26047690699542975,True,0.0003492951903414314,95.97709955062167,True,0.09924063204886105,True,382.6583882655936
6.0,0.05,1.0,-0.2000203632246015,0.09993922242954391,0.125,95.97779814100235,200,0.5,47.988899070501176,0.5209538139908595,True,0.0004468747602906277,95.97690439148177,True,0.09904547290896265,True,382.6583882655936
6.0,0.05,1.0,-0.2000203632246015,0.09993922242954391,0.125,95.97779814100235,400,0.5,47.988899070501176,1.041907627981719,False,inf,-inf,False,-inf,False,382.6583882655936
7.0,0.05,1.0,-0.20000806807305302,0.09997585488143639,0.09183673469387754,130.70340942861728,20,0.5,65.35170471430864,0.0281053830486445,True,0.000129157353340552,130.7031511139106,True,0.09971754017475529,True,710.6882685383537
7.0,0.05,1.0,-0.20000806807305302,0.09997585488143639,0.09183673469387754,130.70340942861728,100,0.5,65.35170471430864,0.1405269152432225,True,0.0001316552333740642,130.70314611815053,True,0.09971254441468826,True,710.6882685383537
7.0,0.05,1.0,-0.20000806807305302,0.09997585488143639,0.09183673469387754,130.70340942861728,200,0.5,65.35170471430864,0.281053830486445,True,0.0001401238925411518,130.7031291808322,True,0.09969560709635408,True,710.6882685383537
7.0,0.05,1.0,-0.20000806807305302,0.09997585488143639,0.09183673469387754,130.70340942861728,400,0.5,65.35170471430864,0.56210766097289,True,0.00018866773567878617,130.7030320931459,True,0.09959851941007881,True,710.6882685383537
8.0,0.05,1.0,-0.20000361981733375,0.09998915391359503,0.0703125,170.74167028648398,20,0.5,85.37083514324199,0.01647225305504487,True,5.792598199996029e-05,170.74155443451997,True,0.09987330194959511,True,1213.4595836811006
8.0,0.05,1.0,-0.20000361981733375,0.09998915391359503,0.0703125,170.74167028648398,100,0.5,85.37083514324199,0.08236126527522436,True,5.83057747574388e-05,170.74155367493447,True,0.09987254236408015,True,1213.4595836811006
8.0,0.05,1.0,-0.20000361981733375,0.09998915391359503,0.0703125,170.74167028648398,200,0.5,85.37083514324199,0.16472253055044872,True,5.952539774488056e-05,170.7415512356885,True,0.09987010311810526,True,1213.4595836811006
8.0,0.05,1.0,-0.20000361981733375,0.09998915391359503,0.0703125,170.74167028648398,400,0.5,85.37083514324199,0.32944506110089744,True,6.496071390629655e-05,170.74154036505618,True,0.09985923248578243,True,1213.4595836811006
10.0,0.05,1.0,-0.20000094882104405,0.09999715443528125,0.045,266.7866676154877,20,0.5,133.39333380774386,0.00674696384226475,True,1.5181359723682503e-05,266.7866372527683,True,0.09996679171583388,True,2963.846259869712
10.0,0.05,1.0,-0.20000094882104405,0.09999715443528125,0.045,266.7866676154877,100,0.5,133.39333380774386,0.033734819211323756,True,1.51979645066406e-05,266.7866372195587,True,0.09996675850626796,True,2963.846259869712
10.0,0.05,1.0,-0.20000094882104405,0.09999715443528125,0.045,266.7866676154877,200,0.5,133.39333380774386,0.06746963842264751,True,1.5250089371589224e-05,266.78663711530896,True,0.09996665425653807,True,2963.846259869712
