g_B,lambda_det,block_gap_LB_units,gap_gt_3,ground_energy
0.76,0.0,12.828678370092835,True,-16.08394247702356
0.76,0.02,12.828278871590221,True,-16.083961382394097
0.76,0.05,12.826183233834552,True,-16.08406064888895
0.76,0.1,12.818722382851535,True,-16.084415354566
0.76,0.2,12.789238395135829,True,-16.085837033930872
0.78,0.0,12.073403223448134,True,-15.140228500172357
0.78,0.02,12.072978472230794,True,-15.140248862493115
0.78,0.05,12.070750607102969,True,-15.140355780811058
0.78,0.1,12.06282225436879,True,-15.140737853330965
0.78,0.2,12.031539194415897,True,-15.142269609892551
0.8,0.0,11.368758562294015,True,-14.260214921942943
0.8,0.02,11.368307268751996,True,-14.260236865503892
0.8,0.05,11.365940471490777,True,-14.260352088755395
0.8,0.1,11.357521554508478,True,-14.260763868732525
0.8,0.2,11.324359941072858,True,-14.26241519184092
0.82,0.0,10.709767539519932,True,-13.437688097123472
0.82,0.02,10.70928833318083,True,-13.437711761818873
0.82,0.05,10.706775486580202,True,-13.437836025164605
0.82,0.1,10.697841629695361,True,-13.43828014800477
0.82,0.2,10.66271890040753,True,-13.440061733839299
0.84,0.0,10.092046971950827,True,-12.667177659616831
0.84,0.02,10.091538396085268,True,-12.66720320337782
0.84,0.05,10.088871944448151,True,-12.66733733683048
0.84,0.1,10.079397395129384,True,-12.667816778873851
0.84,0.2,10.042228009010007,True,-12.66974072169955
0.86,0.0,9.511727015991077,True,-11.943855577121273
0.86,0.02,9.511187522221888,True,-11.943883178774794
0.86,0.05,9.508359445776506,True,-11.944028122247193
0.86,0.1,9.498317018015612,True,-11.944546255047836
0.86,0.2,9.459012641657637,True,-11.946626272830708
0.88,0.0,8.965383709000282,True,-11.263451276258964
0.88,0.02,8.964811651992084,True,-11.263481138897067
0.88,0.05,8.96181344226262,True,-11.263637959941128
0.88,0.1,8.951174469855415,True,-11.264198614304501
0.88,0.2,8.909644265206875,True,-11.26645031571759
0.8999999999999999,0.0,8.449982143545249,True,-10.622180039293156
0.8999999999999999,0.02,8.449375775870942,True,-10.622212394254923
0.8999999999999999,0.05,8.446198412612695,True,-10.622382309029991
0.8999999999999999,0.1,8.434932715679341,True,-10.62298985077721
0.8999999999999999,0.2,8.391083750018396,True,-10.62543105219758
0.9199999999999999,0.0,7.9628284755939704,True,-10.016682417504025
0.9199999999999999,0.02,7.96218594289731,True,-10.016717529093329
0.9199999999999999,0.05,7.958819873349999,True,-10.016901927216795
0.9199999999999999,0.1,7.946895742163141,True,-10.017561347067494
0.9199999999999999,0.2,7.900633543757197,True,-10.020212450100507
0.94,0.0,7.501529309940579,True,-9.44397283549144
0.94,0.02,7.500848646542565,True,-9.44401100658029
0.94,0.05,7.497283767926788,True,-9.444211480651392
0.94,0.1,7.484667968954224,True,-9.444928501131054
0.94,0.2,7.43589725502546,True,-9.44781294358761
0.96,0.0,7.063957277157602,True,-8.901395900839725
0.96,0.02,7.0632364022875365,True,-8.901437479538062
0.96,0.05,7.059462048674546,True,-8.901655860292411
0.96,0.1,7.046119858729444,True,-8.902437063192375
0.96,0.2,6.9947454656948445,True,-8.90558185939078
0.98,0.0,6.648221831537406,True,-8.38658920403708
0.98,0.02,6.6474585464090925,True,-8.386634591647134
0.98,0.05,6.6434634813374425,True,-8.386872989898684
0.98,0.1,6.629358756882958,True,-8.387725968567313
0.98,0.2,6.575286806380827,True,-8.39116235845885
1.0,0.0,6.2526444703389625,True,-7.89745160882507
1.0,0.02,6.2518364563395785,True,-7.897501269343119
1.0,0.05,6.247608872838679,True,-7.897762126106286
1.0,0.1,6.232704162831279,True,-7.898695667746067
1.0,0.2,6.1758435007726575,True,-7.90245989881726
1.02,0.0,5.875737709783017,True,-7.4321162041449425
1.02,0.02,5.874882528095869,True,-7.432170675624414
1.02,0.05,5.8704100581107745,True,-7.432456822085915
1.02,0.1,5.854666770302506,True,-7.433481126292028
1.02,0.2,5.794930720089506,True,-7.4376153976459065
1.04,0.0,5.516187258928822,True,-6.988927223605528
1.04,0.02,5.515282351973493,True,-6.9889871317550645
1.04,0.05,5.51055208756829,True,-6.9893018610827315
1.04,0.1,5.49393071992713,True,-6.990428802096917
